timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_
2209,0.1430762303239331,0.02744983237383608,0.9457770096775379,0.6018944618639519,21.508059682723182,0.2738530000000028,0.4343934485933044,1.0983338946693237,-0.0030543128751846266,0.10547797877516388,0.014050291534385802,-0.049999237060546875,-0.06999969482421875,5296.0,-5287.0,-5299.0,5289.0
2214,0.1430762303239331,0.02744983237383608,0.9457770096775379,0.6018944618639519,21.508059682723182,0.2738530000000028,0.4343934485933044,1.0983338946693237,-0.0030543128751846266,0.10547797877516388,0.014050291534385802,-0.049999237060546875,-0.06999969482421875,5296.0,-5287.0,-5299.0,5289.0
2219,0.16066523551345346,0.0349077627039015,0.961369060011471,0.8551530581173686,24.12142120594274,0.2939070000000065,0.48943548006876025,1.0723781264542962,-0.0043632565509585716,0.12637615194982657,0.019921385756519236,-0.049999237060546875,-0.09999847412109374,5287.0,-5273.0,-5291.0,5278.0
2224,0.16066523551345346,0.0349077627039015,0.961369060011471,0.8551530581173686,24.12142120594274,0.2939070000000065,0.48943548006876025,1.0723781264542962,-0.0043632565509585716,0.12637615194982657,0.019921385756519236,-0.10000038146972656,-0.09999847412109374,5287.0,-5273.0,-5291.0,5278.0
2230,0.16066523551345346,0.0349077627039015,0.961369060011471,0.8551530581173686,24.12142120594274,0.2939070000000065,0.48943548006876025,1.0723781264542962,-0.0043632565509585716,0.12637615194982657,0.019921385756519236,-0.10000038146972656,-0.09999847412109374,5287.0,-5273.0,-5291.0,5278.0
2234,0.16066523551345346,0.0349077627039015,0.961369060011471,0.8551530581173686,24.12142120594274,0.2939070000000065,0.48943548006876025,1.0723781264542962,-0.0043632565509585716,0.12637615194982657,0.019921385756519236,-0.10000038146972656,-0.09999847412109374,5287.0,-5273.0,-5291.0,5278.0
2239,0.17820807942461794,0.043213991635268185,0.980355387798392,1.0914881484771306,26.68534831808655,0.31391900000000894,0.5431569119601245,1.045164726184244,-0.006544968050221923,0.1478173790405881,0.027090698848480844,-0.15999984741210938,-0.14999961853027344,5285.0,-5265.0,-5292.0,5272.0
2244,0.17820807942461794,0.043213991635268185,0.980355387798392,1.0914881484771306,26.68534831808655,0.31391900000000894,0.5431569119601245,1.045164726184244,-0.006544968050221923,0.1478173790405881,0.027090698848480844,-0.15999984741210938,-0.14999961853027344,5285.0,-5265.0,-5292.0,5272.0
2249,0.17820807942461794,0.043213991635268185,0.980355387798392,1.0914881484771306,26.68534831808655,0.31391900000000894,0.5431569119601245,1.045164726184244,-0.006544968050221923,0.1478173790405881,0.027090698848480844,-0.15999984741210938,-0.14999961853027344,5285.0,-5265.0,-5292.0,5272.0
2254,0.17820807942461794,0.043213991635268185,0.980355387798392,1.0914881484771306,26.68534831808655,0.31391900000000894,0.5431569119601245,1.045164726184244,-0.006544968050221923,0.1478173790405881,0.027090698848480844,-0.2199993133544922,-0.14999961853027344,5285.0,-5265.0,-5292.0,5272.0
